Metric,Value
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.611817
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,43149
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,53
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.25358280082409634
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2529041214699487
timing__hold__ws__corner:max_ss_100C_1v60,0.9954629624592507
timing__setup__ws__corner:max_ss_100C_1v60,-85.51491490306809
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-10822.281489284294
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-85.51491490306809
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.995463
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,128
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.372448
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,32
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,44
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2519790003529399
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2512607415468449
timing__hold__ws__corner:max_ff_n40C_1v95,0.14114673718211398
timing__setup__ws__corner:max_ff_n40C_1v95,-24.927186353937557
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,-3131.188893683819
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,-24.927186353937557
